State,medicaid_spend,total_rxs,unique_ndcs,total_entities,dsh_count,ch_count,fqhc_count,carve_in_arrangements,carve_in_entities,carve_in_pharmacies,total_cp_arrangements,carve_in_rate,has_carve_in,medicaid_spend_M
CA,14163462913.91,91842777.0,35538.0,4902,1919,1915,203,15,9,7,35548,0.0421964667491842,True,14163.46291391
NY,9335559639.62,76876368.0,36218.0,3453,2265,682,28,952,316,57,17393,5.473466337032139,True,9335.559639620002
VA,6121108072.8,24135792.0,33783.0,1293,522,194,2,0,0,0,2235,0.0,False,6121.108072800001
OH,4800009951.12,41848379.0,30466.0,3188,1242,423,30,0,0,0,7669,0.0,False,4800.00995112
PA,4646409262.46,37498653.0,30397.0,2570,1377,329,61,0,0,0,15659,0.0,False,4646.40926246
TX,4047522303.03,34236677.0,24370.0,3395,1754,608,24,15,14,3,25069,0.05983485579799752,True,4047.5223030300003
MI,3914129269.48,31664973.0,27261.0,2617,1563,340,30,0,0,0,12406,0.0,False,3914.12926948
FL,3853143216.5,28176155.0,27320.0,2989,1259,520,30,393,57,7,38064,1.0324716267339218,True,3853.1432165
IL,3377056327.32,26428580.0,25889.0,2104,790,438,14,36,31,7,15226,0.23643767240246943,True,3377.05632732
IN,2791896055.58,20758680.0,26123.0,1216,478,256,101,0,0,0,13789,0.0,False,2791.89605558
LA,2743341588.09,21396817.0,25582.0,2275,1496,367,15,0,0,0,7700,0.0,False,2743.34158809
NC,2679545377.08,17132188.0,29851.0,1883,731,518,26,8,5,2,9562,0.08366450533361222,True,2679.54537708
MA,2286764379.3,16092849.0,28557.0,1334,778,210,0,98,41,6,8033,1.219967633511764,True,2286.7643793
WI,2042420747.56,13766919.0,21914.0,1341,599,102,10,0,0,0,2493,0.0,False,2042.4207475599999
AZ,2011259167.21,16197454.0,23615.0,889,361,218,12,6,6,2,13217,0.04539608080502383,True,2011.25916721
NJ,2010467811.46,22825972.0,29040.0,637,326,131,2,0,0,0,6475,0.0,False,2010.4678114600001
KY,1892796048.3,17966692.0,31932.0,1881,701,552,23,4,4,1,4946,0.08087343307723413,True,1892.7960483
CT,1877604862.89,9601402.0,21813.0,1147,710,333,15,0,0,0,3303,0.0,False,1877.60486289
MO,1861427093.18,16238439.0,26227.0,1936,882,324,2,0,0,0,5984,0.0,False,1861.4270931800002
